Order ID,Product Name,Quantity Ordered,Price Each,Order Date,Purchase Address
78,Macbook Pro Laptop,3,1700.0,2020-03-21 11:39:35,439 New York City NY
79,Vareebadd Phone,3,400.0,2020-12-03 22:25:42,991 San Francisco CA
80,Google Phone,4,600.0,2020-08-15 21:54:37,201 San Francisco CA
81,Google Phone,3,600.0,2020-02-07 13:06:45,300 San Francisco CA
82,LG Dryer,1,600.0,2020-09-29 08:44:21,330 Atlanta GA
83,Flatscreen TV,1,300.0,2020-06-26 09:24:13,896 Atlanta GA
84,USB-C Charging Cable,2,11.99,2020-11-07 02:34:00,757 San Francisco CA
85,USB-C Charging Cable,1,11.99,2020-05-09 01:29:59,270 Boston MA
86,iPhone,4,700.0,2020-05-13 23:29:28,921 New York City NY
87,Vareebadd Phone,4,400.0,2020-09-01 09:46:44,195 Boston MA
88,Vareebadd Phone,3,400.0,2020-04-01 11:52:46,436 Atlanta GA
89,Wired Headphones,1,11.99,2020-11-26 09:49:52,439 Boston MA
90,27in 4K Gaming Monitor,1,389.99,2020-10-26 21:31:07,134 Boston MA
91,iPhone,4,700.0,2020-06-25 17:23:14,210 San Francisco CA
92,20in Monitor,2,109.99,2020-07-24 07:24:26,969 Atlanta GA
93,LG Washing Machine,3,600.0,2020-03-18 15:34:12,651 Atlanta GA
94,27in FHD Monitor,1,149.99,2020-08-16 04:32:27,844 San Francisco CA
95,20in Monitor,1,109.99,2020-04-29 10:26:23,722 New York City NY
96,AAA Batteries (4-pack),2,3.99,2020-05-18 14:25:27,301 San Francisco CA
97,LG Washing Machine,2,600.0,2020-08-23 09:19:15,369 San Francisco CA
98,Wired Headphones,2,11.99,2020-10-28 17:20:41,144 Los Angeles CA
99,Lightning Charging Cable,3,14.99,2020-07-21 10:59:36,728 Boston MA
100,34in Ultrawide Monitor,2,379.99,2020-01-04 14:17:13,269 Atlanta GA
101,Vareebadd Phone,1,400.0,2020-11-18 20:00:54,652 Boston MA
102,Google Phone,1,600.0,2020-05-01 21:12:50,479 San Francisco CA
103,Macbook Pro Laptop,3,1700.0,2020-02-05 11:04:06,479 San Francisco CA
104,20in Monitor,2,109.99,2020-05-11 19:24:28,427 Los Angeles CA
105,Macbook Pro Laptop,3,1700.0,2020-12-20 08:25:47,379 Los Angeles CA
106,27in 4K Gaming Monitor,3,389.99,2020-06-18 17:16:48,710 San Francisco CA
107,Macbook Pro Laptop,4,1700.0,2020-10-04 19:57:37,873 New York City NY
108,LG Dryer,3,600.0,2020-03-06 13:04:45,353 Atlanta GA
109,LG Dryer,3,600.0,2020-05-12 01:35:45,491 San Francisco CA
110,Macbook Pro Laptop,2,1700.0,2020-02-12 21:03:28,822 San Francisco CA
111,Wired Headphones,3,11.99,2020-07-22 01:14:06,411 New York City NY
112,34in Ultrawide Monitor,4,379.99,2020-09-25 02:23:01,902 Los Angeles CA
113,Macbook Pro Laptop,3,1700.0,2020-04-18 17:48:45,942 Boston MA
114,Macbook Pro Laptop,3,1700.0,2020-05-06 09:40:02,202 San Francisco CA
115,Flatscreen TV,1,300.0,2020-06-21 23:36:29,868 New York City NY
116,LG Washing Machine,4,600.0,2020-03-24 06:16:22,998 Boston MA
117,LG Dryer,2,600.0,2020-08-18 16:59:44,821 Atlanta GA
118,Macbook Pro Laptop,4,1700.0,2020-10-19 21:14:34,442 San Francisco CA
119,Wired Headphones,3,11.99,2020-05-04 02:42:35,720 Atlanta GA
120,Google Phone,1,600.0,2020-07-06 08:22:11,979 Los Angeles CA
121,iPhone,2,700.0,2020-12-22 17:37:46,126 New York City NY
122,LG Dryer,3,600.0,2020-01-09 18:10:02,107 Atlanta GA
123,ThinkPad Laptop,4,999.99,2020-11-06 10:43:10,150 Atlanta GA
124,Lightning Charging Cable,2,14.99,2020-05-29 11:52:14,743 Los Angeles CA
125,Lightning Charging Cable,2,14.99,2020-09-15 15:05:33,129 San Francisco CA
126,AAA Batteries (4-pack),2,3.99,2020-12-02 18:01:15,939 San Francisco CA
127,USB-C Charging Cable,3,11.99,2020-10-11 03:43:26,702 Los Angeles CA
128,Lightning Charging Cable,3,14.99,2020-02-26 22:03:56,459 New York City NY
129,Vareebadd Phone,2,400.0,2020-02-25 08:54:19,666 San Francisco CA
130,Wired Headphones,1,11.99,2020-12-12 18:42:46,649 Atlanta GA
131,AAA Batteries (4-pack),2,3.99,2020-06-26 16:47:42,162 Los Angeles CA
132,LG Dryer,3,600.0,2020-04-22 21:15:34,953 San Francisco CA
133,Lightning Charging Cable,3,14.99,2020-10-15 09:09:06,766 San Francisco CA
134,LG Washing Machine,3,600.0,2020-12-16 16:51:49,506 New York City NY
135,AAA Batteries (4-pack),3,3.99,2020-03-31 01:14:20,550 Los Angeles CA
136,USB-C Charging Cable,2,11.99,2020-03-10 01:29:23,697 Atlanta GA
137,27in FHD Monitor,1,149.99,2020-02-06 14:12:46,848 San Francisco CA
138,Macbook Pro Laptop,4,1700.0,2020-11-29 13:47:29,471 Atlanta GA
139,27in FHD Monitor,2,149.99,2020-01-13 17:10:24,409 San Francisco CA
140,AAA Batteries (4-pack),4,3.99,2020-05-11 07:33:05,281 New York City NY
141,ThinkPad Laptop,3,999.99,2020-01-15 21:43:28,741 New York City NY
142,Wired Headphones,4,11.99,2020-01-06 05:17:37,419 Boston MA
143,27in FHD Monitor,4,149.99,2020-08-21 09:33:43,842 New York City NY
144,Google Phone,2,600.0,2020-10-04 12:19:08,853 San Francisco CA
145,ThinkPad Laptop,1,999.99,2020-03-13 00:35:55,222 New York City NY
146,AAA Batteries (4-pack),1,3.99,2020-03-22 06:00:58,114 Boston MA
147,iPhone,2,700.0,2020-02-14 06:36:20,696 New York City NY
148,Lightning Charging Cable,1,14.99,2020-10-02 08:48:41,656 Boston MA
149,Vareebadd Phone,2,400.0,2020-08-14 06:52:48,450 San Francisco CA
150,LG Dryer,2,600.0,2020-07-16 18:40:47,904 Boston MA
151,AAA Batteries (4-pack),1,3.99,2020-07-17 02:55:48,967 Boston MA
152,Google Phone,3,600.0,2020-06-23 07:37:08,544 New York City NY
153,27in FHD Monitor,2,149.99,2020-04-30 16:50:31,634 Boston MA
154,20in Monitor,1,109.99,2020-07-04 04:47:37,441 Atlanta GA
155,Google Phone,4,600.0,2020-04-19 01:11:21,224 Atlanta GA
156,LG Dryer,4,600.0,2020-09-16 03:24:19,821 New York City NY
157,iPhone,2,700.0,2020-10-04 06:24:26,803 Boston MA
158,20in Monitor,1,109.99,2020-01-06 00:54:15,638 New York City NY
159,27in FHD Monitor,1,149.99,2020-06-09 03:32:34,193 San Francisco CA
160,Vareebadd Phone,2,400.0,2020-09-06 11:10:13,719 Atlanta GA
161,27in FHD Monitor,4,149.99,2020-05-02 08:33:50,632 Los Angeles CA
162,LG Washing Machine,2,600.0,2020-12-19 13:49:48,419 Atlanta GA
163,Wired Headphones,2,11.99,2020-09-03 08:23:25,641 San Francisco CA
164,LG Washing Machine,4,600.0,2020-02-08 04:52:14,368 Atlanta GA
165,20in Monitor,4,109.99,2020-02-02 17:28:37,167 Atlanta GA
166,Wired Headphones,3,11.99,2020-01-03 05:04:35,173 New York City NY
167,27in FHD Monitor,3,149.99,2020-07-11 03:59:50,728 New York City NY
168,LG Washing Machine,4,600.0,2020-10-19 23:12:20,979 Atlanta GA
169,Wired Headphones,4,11.99,2020-10-05 08:13:09,332 Los Angeles CA
170,Macbook Pro Laptop,2,1700.0,2020-04-15 17:48:44,976 Boston MA
171,USB-C Charging Cable,4,11.99,2020-08-07 02:07:16,277 Los Angeles CA
172,27in FHD Monitor,1,149.99,2020-07-16 05:02:43,530 San Francisco CA
173,20in Monitor,2,109.99,2020-06-21 17:53:44,302 San Francisco CA
174,LG Washing Machine,1,600.0,2020-02-05 16:16:55,752 San Francisco CA
175,Vareebadd Phone,4,400.0,2020-11-29 06:09:18,879 Boston MA
176,Google Phone,1,600.0,2020-10-18 01:24:21,566 New York City NY
177,USB-C Charging Cable,4,11.99,2020-07-16 20:43:20,545 Boston MA
178,Macbook Pro Laptop,2,1700.0,2020-06-26 16:17:22,580 New York City NY
179,Google Phone,2,600.0,2020-06-03 10:12:50,648 Boston MA
180,27in 4K Gaming Monitor,4,389.99,2020-11-12 15:39:04,702 Los Angeles CA
181,20in Monitor,2,109.99,2020-12-02 03:40:58,663 San Francisco CA
182,Flatscreen TV,2,300.0,2020-07-19 23:49:34,545 Atlanta GA
183,20in Monitor,3,109.99,2020-05-01 17:00:58,510 New York City NY
184,27in FHD Monitor,4,149.99,2020-11-25 00:15:11,332 New York City NY
185,Wired Headphones,2,11.99,2020-06-10 05:28:55,141 Boston MA
186,AAA Batteries (4-pack),2,3.99,2020-01-02 12:22:01,839 Boston MA
187,AAA Batteries (4-pack),1,3.99,2020-10-16 21:44:33,750 San Francisco CA
188,27in 4K Gaming Monitor,4,389.99,2020-08-07 12:54:55,484 Los Angeles CA
189,AAA Batteries (4-pack),3,3.99,2020-02-05 00:12:48,437 San Francisco CA
190,27in 4K Gaming Monitor,4,389.99,2020-11-07 19:04:22,844 Los Angeles CA
191,Wired Headphones,1,11.99,2020-09-28 03:15:15,971 New York City NY
192,LG Washing Machine,1,600.0,2020-08-25 15:29:05,993 Los Angeles CA
193,Google Phone,1,600.0,2020-11-03 02:18:30,303 Los Angeles CA
194,Wired Headphones,2,11.99,2020-10-31 21:08:56,507 Los Angeles CA
195,Flatscreen TV,3,300.0,2020-06-25 10:22:53,474 New York City NY
196,34in Ultrawide Monitor,1,379.99,2020-09-27 23:54:16,644 Atlanta GA
197,Flatscreen TV,1,300.0,2020-11-28 02:18:35,207 Los Angeles CA
198,ThinkPad Laptop,3,999.99,2020-05-26 20:42:00,945 New York City NY
199,LG Washing Machine,1,600.0,2020-05-09 09:35:27,802 Boston MA
200,Flatscreen TV,2,300.0,2020-08-15 18:44:43,913 Los Angeles CA
201,ThinkPad Laptop,1,999.99,2020-11-22 21:41:58,631 Boston MA
202,27in FHD Monitor,2,149.99,2020-03-23 01:51:45,493 San Francisco CA
203,Wired Headphones,4,11.99,2020-08-13 16:18:27,821 Boston MA
204,LG Washing Machine,4,600.0,2020-09-13 06:30:50,439 Los Angeles CA
205,27in FHD Monitor,4,149.99,2020-09-22 00:30:04,689 Boston MA
206,20in Monitor,3,109.99,2020-09-30 02:15:49,940 Boston MA
207,ThinkPad Laptop,2,999.99,2020-10-10 17:15:37,286 Atlanta GA
208,AAA Batteries (4-pack),4,3.99,2020-05-21 20:55:05,633 Boston MA
209,Flatscreen TV,3,300.0,2020-11-19 03:33:53,918 San Francisco CA
210,Flatscreen TV,3,300.0,2020-12-03 18:25:32,181 New York City NY
211,Wired Headphones,2,11.99,2020-06-30 05:07:56,521 Atlanta GA
212,LG Dryer,1,600.0,2020-08-12 01:54:30,849 San Francisco CA
213,Flatscreen TV,4,300.0,2020-09-29 13:06:19,712 Boston MA
214,Google Phone,4,600.0,2020-08-07 04:48:03,294 San Francisco CA
215,27in FHD Monitor,1,149.99,2020-02-18 12:26:22,823 San Francisco CA
216,Flatscreen TV,1,300.0,2020-05-17 14:13:22,570 Boston MA
217,Macbook Pro Laptop,1,1700.0,2020-06-26 07:28:51,469 New York City NY
218,Wired Headphones,1,11.99,2020-05-10 19:04:59,330 Atlanta GA
219,34in Ultrawide Monitor,4,379.99,2020-03-15 15:38:14,877 Boston MA
220,ThinkPad Laptop,2,999.99,2020-02-22 03:41:30,424 New York City NY
221,LG Washing Machine,3,600.0,2020-02-02 04:20:10,389 Atlanta GA
222,AAA Batteries (4-pack),1,3.99,2020-04-30 11:34:59,621 San Francisco CA
223,Macbook Pro Laptop,4,1700.0,2020-08-01 03:58:15,300 Boston MA
224,Wired Headphones,4,11.99,2020-06-23 21:42:26,881 New York City NY
225,ThinkPad Laptop,4,999.99,2020-04-02 11:32:17,366 San Francisco CA
226,20in Monitor,3,109.99,2020-10-28 06:25:04,461 Boston MA
227,34in Ultrawide Monitor,1,379.99,2020-08-29 12:41:26,934 Boston MA
228,27in 4K Gaming Monitor,1,389.99,2020-02-26 12:00:56,228 Boston MA
229,ThinkPad Laptop,1,999.99,2020-05-09 02:25:58,425 San Francisco CA
230,Vareebadd Phone,2,400.0,2020-11-05 13:51:40,294 San Francisco CA
231,ThinkPad Laptop,3,999.99,2020-05-25 13:10:23,156 Los Angeles CA
232,20in Monitor,4,109.99,2020-06-09 08:27:16,684 San Francisco CA
233,Flatscreen TV,2,300.0,2020-02-02 02:21:13,963 Los Angeles CA
234,AAA Batteries (4-pack),3,3.99,2020-10-24 01:16:17,784 Boston MA
235,Flatscreen TV,1,300.0,2020-07-29 13:30:02,776 San Francisco CA
236,ThinkPad Laptop,1,999.99,2020-12-12 09:11:19,104 Los Angeles CA
237,Lightning Charging Cable,4,14.99,2020-02-12 08:05:30,698 San Francisco CA
238,LG Washing Machine,1,600.0,2020-02-20 10:56:53,676 Atlanta GA
239,Vareebadd Phone,4,400.0,2020-09-06 12:10:43,281 Boston MA
240,AAA Batteries (4-pack),2,3.99,2020-05-17 07:08:20,518 New York City NY
241,34in Ultrawide Monitor,3,379.99,2020-01-27 05:01:28,882 New York City NY
242,Vareebadd Phone,3,400.0,2020-05-18 01:59:04,954 New York City NY
243,27in 4K Gaming Monitor,3,389.99,2020-01-21 04:54:07,556 Atlanta GA
244,Lightning Charging Cable,2,14.99,2020-10-15 03:16:42,477 New York City NY
245,ThinkPad Laptop,3,999.99,2020-12-12 03:57:42,548 Los Angeles CA
246,Wired Headphones,4,11.99,2020-02-07 23:16:04,862 Los Angeles CA
247,USB-C Charging Cable,3,11.99,2020-05-06 07:38:39,711 Boston MA
248,Flatscreen TV,4,300.0,2020-05-30 08:42:36,108 San Francisco CA
249,AAA Batteries (4-pack),2,3.99,2020-06-13 02:20:25,356 New York City NY
250,Macbook Pro Laptop,2,1700.0,2020-06-13 23:05:11,591 Atlanta GA
251,20in Monitor,3,109.99,2020-03-15 21:31:39,600 Boston MA
252,20in Monitor,3,109.99,2020-01-17 17:19:37,608 Atlanta GA
253,Vareebadd Phone,2,400.0,2020-10-29 17:59:41,648 Atlanta GA
254,27in 4K Gaming Monitor,2,389.99,2020-01-23 02:23:54,587 New York City NY
255,Lightning Charging Cable,2,14.99,2020-01-03 07:48:12,411 Atlanta GA
256,LG Dryer,2,600.0,2020-05-17 16:05:29,467 Boston MA
257,ThinkPad Laptop,2,999.99,2020-12-27 10:21:41,714 New York City NY
258,iPhone,4,700.0,2020-11-08 13:54:13,789 Los Angeles CA
259,Flatscreen TV,2,300.0,2020-07-26 14:16:59,491 San Francisco CA
260,Flatscreen TV,4,300.0,2020-04-14 08:33:34,193 San Francisco CA
261,LG Dryer,4,600.0,2020-06-17 22:55:21,250 Boston MA
262,Vareebadd Phone,1,400.0,2020-04-19 21:23:47,117 Los Angeles CA
263,27in FHD Monitor,3,149.99,2020-08-02 12:34:07,808 Boston MA
264,Flatscreen TV,3,300.0,2020-09-28 13:31:37,617 Los Angeles CA
265,27in 4K Gaming Monitor,3,389.99,2020-08-12 05:34:40,349 Boston MA
266,LG Dryer,2,600.0,2020-10-24 06:20:18,848 San Francisco CA
267,20in Monitor,1,109.99,2020-02-20 10:51:51,489 Los Angeles CA
268,27in 4K Gaming Monitor,3,389.99,2020-07-17 21:55:59,326 San Francisco CA
269,LG Dryer,1,600.0,2020-05-02 15:24:13,919 Boston MA
270,ThinkPad Laptop,1,999.99,2020-03-11 22:20:31,399 San Francisco CA
271,Vareebadd Phone,2,400.0,2020-07-21 05:57:00,672 Boston MA
272,USB-C Charging Cable,3,11.99,2020-03-11 12:33:32,870 New York City NY
273,LG Dryer,4,600.0,2020-01-14 12:58:41,653 Atlanta GA
274,27in 4K Gaming Monitor,4,389.99,2020-11-21 07:38:34,464 Los Angeles CA
275,34in Ultrawide Monitor,1,379.99,2020-02-19 07:50:09,526 Los Angeles CA
276,Flatscreen TV,2,300.0,2020-07-27 21:15:52,505 Los Angeles CA
277,ThinkPad Laptop,4,999.99,2020-10-07 02:24:09,224 New York City NY
278,Flatscreen TV,4,300.0,2020-07-10 14:41:47,732 San Francisco CA
279,Wired Headphones,3,11.99,2020-07-12 00:09:08,153 San Francisco CA
280,27in FHD Monitor,2,149.99,2020-05-15 15:23:08,488 New York City NY
281,LG Dryer,1,600.0,2020-03-15 10:39:25,176 Los Angeles CA
282,Wired Headphones,4,11.99,2020-12-15 23:09:20,379 Los Angeles CA
283,Google Phone,3,600.0,2020-10-24 11:22:24,610 Los Angeles CA
284,34in Ultrawide Monitor,3,379.99,2020-10-30 03:24:39,104 Boston MA
285,27in 4K Gaming Monitor,3,389.99,2020-04-26 12:50:08,217 Boston MA
286,Wired Headphones,3,11.99,2020-02-21 11:21:31,978 New York City NY
287,27in 4K Gaming Monitor,3,389.99,2020-02-25 21:42:33,805 Los Angeles CA
288,LG Washing Machine,2,600.0,2020-02-14 22:37:30,289 Los Angeles CA
289,ThinkPad Laptop,3,999.99,2020-09-17 05:32:48,949 Atlanta GA
290,Lightning Charging Cable,2,14.99,2020-04-24 20:15:51,231 Boston MA
291,iPhone,3,700.0,2020-04-12 02:00:14,792 Atlanta GA
292,20in Monitor,1,109.99,2020-04-27 14:37:20,770 New York City NY
293,AAA Batteries (4-pack),2,3.99,2020-06-30 16:02:05,607 San Francisco CA
294,20in Monitor,1,109.99,2020-04-15 06:08:27,221 Los Angeles CA
295,Flatscreen TV,4,300.0,2020-05-31 14:56:37,143 Atlanta GA
296,Macbook Pro Laptop,2,1700.0,2020-10-03 18:48:10,177 Los Angeles CA
297,Google Phone,3,600.0,2020-01-27 07:13:00,476 San Francisco CA
298,27in 4K Gaming Monitor,3,389.99,2020-12-03 17:46:13,664 New York City NY
299,20in Monitor,2,109.99,2020-12-15 03:18:00,595 Atlanta GA
300,Lightning Charging Cable,4,14.99,2020-04-13 09:34:12,295 Los Angeles CA
301,ThinkPad Laptop,3,999.99,2020-03-20 06:41:12,643 New York City NY
302,34in Ultrawide Monitor,2,379.99,2020-01-12 13:31:21,560 Los Angeles CA
303,LG Dryer,2,600.0,2020-12-27 02:51:44,529 New York City NY
304,Flatscreen TV,3,300.0,2020-11-07 08:31:12,858 New York City NY
305,27in FHD Monitor,3,149.99,2020-10-10 02:48:21,738 Boston MA
306,20in Monitor,4,109.99,2020-05-21 04:00:16,474 Boston MA
307,Wired Headphones,3,11.99,2020-08-19 02:13:07,110 Los Angeles CA
308,Vareebadd Phone,2,400.0,2020-12-18 21:24:31,775 Los Angeles CA
309,iPhone,1,700.0,2020-01-19 14:41:15,167 San Francisco CA
310,Lightning Charging Cable,2,14.99,2020-07-11 18:19:28,515 Boston MA
311,Wired Headphones,2,11.99,2020-08-30 06:51:55,757 Los Angeles CA
312,LG Washing Machine,4,600.0,2020-08-29 13:46:43,473 New York City NY
313,Macbook Pro Laptop,3,1700.0,2020-10-28 02:58:42,864 Boston MA
314,Lightning Charging Cable,3,14.99,2020-03-09 21:38:00,894 Atlanta GA
315,ThinkPad Laptop,4,999.99,2020-11-12 21:56:06,761 Boston MA
316,Wired Headphones,3,11.99,2020-08-19 09:20:03,248 New York City NY
317,Wired Headphones,1,11.99,2020-03-07 09:33:00,510 Boston MA
318,iPhone,1,700.0,2020-10-21 15:48:36,246 Boston MA
319,Vareebadd Phone,2,400.0,2020-09-17 10:46:58,235 San Francisco CA
320,Vareebadd Phone,2,400.0,2020-09-22 00:58:21,211 New York City NY
321,Vareebadd Phone,2,400.0,2020-04-06 08:25:51,456 Boston MA
322,iPhone,4,700.0,2020-04-28 10:09:59,241 Boston MA
323,Wired Headphones,1,11.99,2020-05-28 12:39:45,174 San Francisco CA
324,LG Washing Machine,1,600.0,2020-12-13 15:35:40,724 Los Angeles CA
325,Google Phone,2,600.0,2020-12-12 21:46:34,236 Boston MA
326,27in FHD Monitor,4,149.99,2020-09-02 01:27:51,825 San Francisco CA
327,34in Ultrawide Monitor,2,379.99,2020-08-16 01:35:09,429 Atlanta GA
328,Wired Headphones,3,11.99,2020-09-13 05:47:15,814 San Francisco CA
329,LG Dryer,1,600.0,2020-01-12 03:47:27,670 Boston MA
330,Vareebadd Phone,2,400.0,2020-08-02 01:42:57,948 Los Angeles CA
331,Google Phone,4,600.0,2020-12-05 14:16:25,603 Boston MA
332,20in Monitor,2,109.99,2020-02-08 12:44:57,687 Los Angeles CA
333,ThinkPad Laptop,1,999.99,2020-04-03 08:03:19,826 Los Angeles CA
334,iPhone,3,700.0,2020-06-01 01:36:53,489 San Francisco CA
335,iPhone,3,700.0,2020-05-07 01:19:29,473 Boston MA
336,ThinkPad Laptop,1,999.99,2020-09-28 18:32:00,649 Los Angeles CA
337,Lightning Charging Cable,2,14.99,2020-03-11 05:03:11,967 Los Angeles CA
338,USB-C Charging Cable,1,11.99,2020-06-15 04:07:31,813 Los Angeles CA
339,34in Ultrawide Monitor,4,379.99,2020-09-08 13:24:43,781 New York City NY
340,27in FHD Monitor,4,149.99,2020-12-11 17:17:25,296 Los Angeles CA
341,27in FHD Monitor,2,149.99,2020-05-26 22:13:02,113 Los Angeles CA
342,Flatscreen TV,1,300.0,2020-02-23 14:14:49,159 Atlanta GA
343,USB-C Charging Cable,4,11.99,2020-10-18 12:50:57,369 Los Angeles CA
344,Lightning Charging Cable,3,14.99,2020-05-12 04:59:27,921 Los Angeles CA
345,Flatscreen TV,2,300.0,2020-08-03 03:16:09,439 New York City NY
346,LG Dryer,4,600.0,2020-05-28 00:59:26,376 San Francisco CA
347,Macbook Pro Laptop,2,1700.0,2020-05-25 03:56:11,691 Los Angeles CA
